Season,Team,DRtg,ORtg,Net Rtg,W,Playoff ORtg,Playoff DRtg,Playoff Net Rtg,ORtg Difference,DRtg Difference,Net Rtg Difference
2012-13,HOU,106.1,109.7,3.6,2,105.3,111.4,-6.1,-4.4,5.3,-9.7
2007-08,DAL,106.1,111.1,5,1,108,118.2,-10.2,-3.1,12.1,-15.2
2017-18,HOU,106.1,114.7,8.6,11,109.6,107.7,1.9,-5.1,1.6,-6.7
2007-08,PHI,106,106.4,0.4,2,99.8,107.9,-8.1,-6.6,1.9,-8.5
2006-07,TOR,106,107,1,2,101,106.9,-5.9,-6,0.9,-6.9
2010-11,IND,106,104.8,-1.2,1,100.2,108.5,-8.3,-4.6,2.5,-7.1
2006-07,DEN,105.9,107.6,1.7,1,100.7,107.5,-6.8,-6.9,1.6,-8.5
2017-18,TOR,105.9,113.8,7.9,4,112,116.6,-4.6,-1.8,10.7,-12.5
2005-06,PHO,105.8,111.5,5.7,10,113.7,112.5,1.2,2.2,6.7,-4.5
2013-14,MIA,105.8,110.9,5.1,13,112.8,110.8,2,1.9,5,-3.1
2016-17,ATL,105.7,104.9,-0.8,2,107.3,108.5,-1.2,2.4,2.8,-0.4
2018-19,UTA,105.7,110.9,5.2,1,99.2,108.5,-9.3,-11.7,2.8,-14.5
2005-06,LAL,105.7,108.4,2.7,3,106.5,113.6,-7.1,-1.9,7.9,-9.8
2011-12,LAC,105.7,108.5,2.8,4,101.3,106.5,-5.2,-7.2,0.8,-8
2007-08,NOH,105.7,111.5,5.8,7,111.5,107.3,4.2,0,1.6,-1.6
2015-16,OKC,105.6,113.1,7.5,11,111.8,106.2,5.6,-1.3,0.6,-1.9
2010-11,SAS,105.6,111.8,6.2,2,102.2,105.6,-3.4,-9.6,0,-9.6
2007-08,ORL,105.5,111.3,5.8,5,111,109.2,1.8,-0.3,3.7,-4
2015-16,DET,105.5,106.1,0.6,0,109.4,119.2,-9.8,3.3,13.7,-10.4
2012-13,GSW,105.5,106.4,0.9,6,106.4,106.2,0.2,0,0.7,-0.7
2014-15,LAC,105.5,112.4,6.9,7,108.4,107.1,1.3,-4,1.6,-5.6
2007-08,LAL,105.5,113,7.5,14,110,107.6,2.4,-3,2.1,-5.1
2005-06,CLE,105.4,107.8,2.4,7,103.7,107.4,-3.7,-4.1,2,-6.1
2003-04,MIL,105.4,106.5,1.1,1,95.3,109.3,-14,-11.2,3.9,-15.1
2016-17,UTA,105.3,109.6,4.3,4,106.2,111.3,-5.1,-3.4,6,-9.4
2013-14,TOR,105.3,108.8,3.5,3,108.2,110,-1.8,-0.6,4.7,-5.3
2006-07,MIA,105.3,104.3,-1,0,96.9,108.9,-12,-7.4,3.6,-11
2009-10,CHI,105.3,103.5,-1.8,1,105,115,-10,1.5,9.7,-8.2
2018-19,MIL,105.2,113.8,8.6,10,111.1,102.5,8.6,-2.7,-2.7,0
2005-06,DEN,105.2,105.5,0.3,1,95,103.2,-8.2,-10.5,-2,-8.5
2012-13,MIL,105.2,103.6,-1.6,0,94,110.3,-16.3,-9.6,5.1,-14.7
2015-16,TOR,105.2,110,4.8,10,102.8,107.5,-4.7,-7.2,2.3,-9.5
2010-11,NOH,105.2,106.2,1,2,104.7,113.1,-8.4,-1.5,7.9,-9.4
2010-11,MEM,105.1,107.6,2.5,7,105.4,106.1,-0.7,-2.2,1,-3.2
2012-13,DEN,105.1,110.4,5.3,2,105.9,110.2,-4.3,-4.5,5.1,-9.6
2005-06,SAC,105,106.7,1.7,2,108.8,119.5,-10.7,2.1,14.5,-12.4
2010-11,DAL,105,109.7,4.7,16,112.9,106.3,6.6,3.2,1.3,1.9
2010-11,PHI,105,106.6,1.6,1,100.7,109.3,-8.6,-5.9,4.3,-10.2
2009-10,UTA,105,110.7,5.7,4,114,116.4,-2.4,3.3,11.4,-8.1
2005-06,DAL,105,111.8,6.8,14,110.2,105.7,4.5,-1.6,0.7,-2.3
2017-18,PHI,105,109.5,4.5,5,110.4,106.5,3.9,0.9,1.5,-0.6
2019-20,TOR,105,111.1,6.1,7,108.3,104.2,4.1,-2.8,-0.8,-2
2003-04,SAC,104.9,110.3,5.4,7,101,100.9,0.1,-9.3,-4,-5.3
2017-18,SAS,104.8,107.9,3.1,1,103.7,113.1,-9.4,-4.2,8.3,-12.5
2013-14,LAC,104.8,112.1,7.3,6,113.3,111.3,2,1.2,6.5,-5.3
2008-09,LAL,104.7,112.8,8.1,16,111.4,103.5,7.9,-1.4,-1.2,-0.2
2013-14,WAS,104.6,106,1.4,6,102,100.9,1.1,-4,-3.7,-0.3
2009-10,OKC,104.6,108.3,3.7,2,103.6,105.4,-1.8,-4.7,0.8,-5.5
2004-05,IND,104.6,105.5,0.9,6,97.7,101.1,-3.4,-7.8,-3.5,-4.3
2013-14,MEM,104.6,106.3,1.7,3,102.8,108.5,-5.7,-3.5,3.9,-7.4
2014-15,BOS,104.5,104.7,0.2,0,101.5,111.5,-10,-3.2,7,-10.2
2009-10,SAS,104.5,110,5.5,4,105.7,109.4,-3.7,-4.3,4.9,-9.2
2015-16,CLE,104.5,110.9,6.4,16,115.5,106,9.5,4.6,1.5,3.1
2005-06,MIA,104.5,108.7,4.2,16,106.2,102,4.2,-2.5,-2.5,0
2011-12,LAL,104.4,106,1.6,5,105.4,110,-4.6,-0.6,5.6,-6.2
2012-13,ATL,104.4,104.8,0.4,2,98,103.6,-5.6,-6.8,-0.8,-6
2015-16,MIA,104.4,106.1,1.7,7,105.1,101.7,3.4,-1,-2.7,1.7
2014-15,CHI,104.3,107.5,3.2,6,104.4,100.7,3.7,-3.1,-3.6,0.5
2008-09,SAS,104.3,108.5,4.2,1,105.4,112.4,-7,-3.1,8.1,-11.2
2015-16,CHO,104.3,107.1,2.8,3,99.2,109,-9.8,-7.9,4.7,-12.6
2010-11,LAL,104.3,111,6.7,4,107.8,109.3,-1.5,-3.2,5,-8.2
2004-05,PHI,104.3,103.5,-0.8,1,101.2,110.1,-8.9,-2.3,5.8,-8.1
2006-07,DET,104.2,108.9,4.7,10,105.2,101.8,3.4,-3.7,-2.4,-1.3
2009-10,CLE,104.1,111.2,7.1,6,108.2,106.8,1.4,-3,2.7,-5.7
2004-05,DAL,104.1,110.3,6.2,6,113.3,115,-1.7,3,10.9,-7.9
2009-10,MIA,104.1,106.6,2.5,1,96.2,105.2,-9,-10.4,1.1,-11.5
2011-12,ORL,104.1,105,0.9,1,94.8,107,-12.2,-10.2,2.9,-13.1
2006-07,ORL,104.1,104.9,0.8,0,102.9,113.5,-10.6,-2,9.4,-11.4
2008-09,HOU,104,108.4,4.4,7,104.7,106.4,-1.7,-3.7,2.4,-6.1
2016-17,GSW,104,115.6,11.6,16,119,105.5,13.5,3.4,1.5,1.9
2013-14,OKC,103.9,110.5,6.6,10,108.1,109.2,-1.1,-2.4,5.3,-7.7
2017-18,UTA,103.9,108.4,4.5,5,104.7,106.9,-2.2,-3.7,3,-6.7
2017-18,BOS,103.9,107.6,3.7,11,107.7,107,0.7,0.1,3.1,-3
2004-05,DEN,103.9,106,2.1,1,97.4,108.5,-11.1,-8.6,4.6,-13.2
2015-16,LAC,103.8,108.3,4.5,2,104.9,103.9,1,-3.4,0.1,-3.5
2013-14,CHA,103.8,103.6,-0.2,0,101.5,112.3,-10.8,-2.1,8.5,-10.6
2015-16,GSW,103.8,114.5,10.7,15,110.5,106.1,4.4,-4,2.3,-6.3
2009-10,BOS,103.8,107.7,3.9,15,104.8,101.7,3.1,-2.9,-2.1,-0.8
2012-13,MIA,103.7,112.3,8.6,16,110.2,102.9,7.3,-2.1,-0.8,-1.3
2009-10,LAL,103.7,108.8,5.1,16,112.8,108.6,4.2,4,4.9,-0.9
2014-15,POR,103.7,108.2,4.5,1,101.9,109.3,-7.4,-6.3,5.6,-11.9
2003-04,BOS,103.7,102.1,-1.6,0,92.1,110.4,-18.3,-10,6.7,-16.7
2015-16,BOS,103.6,106.8,3.2,2,93.8,100.5,-6.7,-13,-3.1,-9.9
2005-06,LAC,103.6,105.3,1.7,7,111.6,107.7,3.9,6.3,4.1,2.2
2012-13,LAC,103.6,110.6,7,2,107.5,113.8,-6.3,-3.1,10.2,-13.3
2010-11,MIA,103.5,111.7,8.2,14,106.4,103.4,3,-5.3,-0.1,-5.2
2016-17,SAS,103.5,111.1,7.6,8,113.4,112.3,1.1,2.3,8.8,-6.5
2014-15,HOU,103.4,107,3.6,9,106.6,109,-2.4,-0.4,5.6,-6
2005-06,CHI,103.4,104,0.6,2,104.2,107.4,-3.2,0.2,4,-3.8
2003-04,NYK,103.3,101.7,-1.6,0,90.4,104.1,-13.7,-11.3,0.8,-12.1
2012-13,BOS,103.3,103.1,-0.2,2,92.9,98.9,-6,-10.2,-4.4,-5.8
2009-10,ORL,103.3,111.4,8.1,10,110.8,100.9,9.9,-0.6,-2.4,1.8
2006-07,DAL,103.2,111.3,8.1,2,105.7,112.8,-7.1,-5.6,9.6,-15.2
2011-12,OKC,103.2,109.8,6.6,13,111.8,107.4,4.4,2,4.2,-2.2
2011-12,SAS,103.2,110.9,7.7,10,110.3,103.9,6.4,-0.6,0.7,-1.3
2012-13,CHI,103.2,103.5,0.3,5,102.5,110,-7.5,-1,6.8,-7.8
2005-06,DET,103.1,110.8,7.7,10,107.9,104.2,3.7,-2.9,1.1,-4
2014-15,ATL,103.1,108.9,5.8,8,103.4,103.6,-0.2,-5.5,0.5,-6
2009-10,MIL,103.1,104.9,1.8,3,105,109.3,-4.3,0.1,6.2,-6.1
2004-05,NJN,103.1,101.4,-1.7,0,100.6,113.9,-13.3,-0.8,10.8,-11.6
2004-05,MIA,103.1,110.2,7.1,11,107.2,102.5,4.7,-3,-0.6,-2.4
2011-12,IND,103.1,106.7,3.6,6,102.4,100.9,1.5,-4.3,-2.2,-2.1
2014-15,WAS,103,103.7,0.7,6,105.8,101.7,4.1,2.1,-1.3,3.4
2007-08,DET,102.9,111.4,8.5,10,108,105.2,2.8,-3.4,2.3,-5.7
2004-05,MEM,102.9,105.5,2.6,0,112,124,-12,6.5,21.1,-14.6
2015-16,IND,102.9,104.6,1.7,3,105.5,103.9,1.6,0.9,1,-0.1
2019-20,MIL,102.9,112.4,9.5,5,109.7,108.5,1.2,-2.7,5.6,-8.3
2009-10,CHA,102.8,104.4,1.6,0,100.2,111,-10.8,-4.2,8.2,-12.4
2003-04,DEN,102.7,103.9,1.2,1,99.2,103.6,-4.4,-4.7,0.9,-5.6
2012-13,OKC,102.6,112.4,9.8,5,105.1,103.7,1.4,-7.3,1.1,-8.4
2013-14,GSW,102.6,107.5,4.9,3,110.2,114.8,-4.6,2.7,12.2,-9.5
2008-09,CLE,102.4,112.4,10,10,112.6,102.7,9.9,0.2,0.3,-0.1
2013-14,SAS,102.4,110.5,8.1,16,114.2,104.2,10,3.7,1.8,1.9
2003-04,NOH,102.4,102.3,-0.1,3,92.5,95.9,-3.4,-9.8,-6.5,-3.3
2005-06,NJN,102.4,103.9,1.5,5,106.5,107.6,-1.1,2.6,5.2,-2.6
2005-06,IND,102.4,104.5,2.1,2,103.2,107.5,-4.3,-1.3,5.1,-6.4
2008-09,BOS,102.3,110.5,8.2,7,106.3,106.3,0,-4.2,4,-8.2
2011-12,DAL,102.3,103.3,1,0,102.9,110.1,-7.2,-0.4,7.8,-8.2
2014-15,MIL,102.2,102.7,0.5,2,91.8,104.6,-12.8,-10.9,2.4,-13.3
2014-15,MEM,102.2,105.7,3.5,6,103,104.4,-1.4,-2.7,2.2,-4.9
2003-04,MEM,102.2,104.8,2.6,0,97.1,113.4,-16.3,-7.7,11.2,-18.9
2014-15,SAS,102,108.5,6.5,3,107.8,107.3,0.5,-0.7,5.3,-6
2010-11,ORL,102,107.9,5.9,2,102.4,100.3,2.1,-5.5,-1.7,-3.8
2008-09,ORL,101.9,109.2,7.3,13,107.3,105.3,2,-1.9,3.4,-5.3
2007-08,SAS,101.8,107.2,5.4,9,103.9,104.8,-0.9,-3.3,3,-6.3
2011-12,MEM,101.8,104,2.2,3,102.8,102,0.8,-1.2,0.2,-1.4
2004-05,HOU,101.7,106.2,4.5,3,111.7,114.9,-3.2,5.5,13.2,-7.7
2003-04,MIA,101.7,102.2,0.5,6,97.3,97.1,0.2,-4.9,-4.6,-0.3
2005-06,MEM,101.6,105.9,4.3,0,99,115.5,-16.5,-6.9,13.9,-20.8
2007-08,HOU,101.6,106.8,5.2,2,103.8,106.7,-2.9,-3,5.1,-8.1
2012-13,SAS,101.6,108.3,6.7,15,108.7,101.1,7.6,0.4,-0.5,0.9
2015-16,ATL,101.4,105.1,3.7,4,103.5,104.5,-1,-1.6,3.1,-4.7
2014-15,GSW,101.4,111.6,10.2,16,108.7,100.5,8.2,-2.9,-0.9,-2
2006-07,CLE,101.3,105.5,4.2,12,102.5,100,2.5,-3,-1.3,-1.7
2003-04,LAL,101.3,105.5,4.2,13,100.8,99.8,1,-4.7,-1.5,-3.2
2004-05,DET,101.2,105.6,4.4,15,105,99.5,5.5,-0.6,-1.7,1.1
2011-12,ATL,101.2,104.9,3.7,2,91.8,97.1,-5.3,-13.1,-4.1,-9
2011-12,NYK,101,104.4,3.4,1,95.2,111.3,-16.1,-9.2,10.3,-19.5
2006-07,HOU,100.7,106,5.3,3,99.6,103.2,-3.6,-6.4,2.5,-8.9
2013-14,CHI,100.5,102.5,2,1,103,108.3,-5.3,0.5,7.8,-7.3
2010-11,BOS,100.3,106.2,5.9,5,105.1,103.6,1.5,-1.1,3.3,-4.4
2012-13,MEM,100.3,104.9,4.6,8,105,104.3,0.7,0.1,4,-3.9
2010-11,CHI,100.3,108.3,8,9,105.8,100.9,4.9,-2.5,0.6,-3.1
2004-05,CHI,100.3,101.4,1.1,2,106.3,108.2,-1.9,4.9,7.9,-3
2011-12,MIA,100.2,106.6,6.4,16,109.6,101.6,8,3,1.4,1.6
2006-07,SAS,99.9,109.2,9.3,16,107.6,103.1,4.5,-1.6,3.2,-4.8
2012-13,IND,99.8,104.3,4.5,11,104.5,104.4,0.1,0.2,4.6,-4.4
2003-04,MIN,99.7,105.9,6.2,10,101.9,101.9,0,-4,2.2,-6.2
2005-06,SAS,99.6,107.3,7.7,7,114,111.6,2.4,6.7,12,-5.3
2006-07,CHI,99.6,104.9,5.3,6,103.4,102.1,1.3,-1.5,2.5,-4
2013-14,IND,99.3,104.1,4.8,10,103.7,104.8,-1.1,-0.4,5.5,-5.9
2011-12,PHI,99.2,103.9,4.7,7,96.9,98.3,-1.4,-7,-0.9,-6.1
2003-04,HOU,99,100.9,1.9,1,94.5,100.5,-6,-6.4,1.5,-7.9
2015-16,SAS,99,110.3,11.3,6,111,101.1,9.9,0.7,2.1,-1.4
2007-08,BOS,98.9,110.2,11.3,16,109.4,103.3,6.1,-0.8,4.4,-5.2
2004-05,SAS,98.8,107.5,8.7,16,110,105.1,4.9,2.5,6.3,-3.8
2011-12,CHI,98.3,107.4,9.1,2,95.7,97.6,-1.9,-11.7,-0.7,-11
2011-12,BOS,98.2,101,2.8,11,100.4,99.2,1.2,-0.6,1,-1.6
2003-04,NJN,98,100.8,2.8,7,96.4,93.7,2.7,-4.4,-4.3,-0.1
2003-04,IND,97.2,103.8,6.6,10,98.9,93.7,5.2,-4.9,-3.5,-1.4
2003-04,DET,95.4,102,6.6,16,99.3,92,7.3,-2.7,-3.4,0.7
2003-04,SAS,94.1,102.2,8.1,6,102.4,98.8,3.6,0.2,4.7,-4.5
